time_us,centre_radiation_stress_pa,apex_dynamic_elevation_um,apex_velocity_m_s,positive_mound_volume_pl,volume_residual_fl,mechanical_energy_pj
207.2,0.0,4.023608822943961,-0.0024325753058647547,384.5433834151584,7.279946397105417e-11,3.091907011837144
207.3,0.0,4.023364759292679,-0.002448697719733738,384.70430965983513,6.13374207075265e-11,3.091671636635337
207.4,0.0,4.023119084425958,-0.002464799614683195,384.86516119683824,9.882140002879268e-11,3.0914361484959643
207.5,0.0,4.022871800395835,-0.002480880987748511,385.0259379707557,8.085387275083037e-11,3.0912005473896054
207.59999999999997,0.0,4.02262290925465,-0.0024969418360046196,385.1866399262204,7.682666836094226e-11,3.0909648332878614
207.7,0.0,4.022372413055019,-0.002512982156565951,385.34726700791043,7.403860378332742e-11,3.0907290061633548
207.79999999999998,0.0,4.0221203138498645,-0.0025290019465863994,385.5078191605489,4.9565592490930496e-11,3.0904930659897207
207.89999999999998,0.0,4.021866613692369,-0.0025450012032592778,385.66829632890443,1.0284860441868078e-10,3.090257012741614
208.0,0.0,4.021611314636017,-0.002560979923817279,385.8286984577906,8.766914171833332e-11,3.0900208463946983
208.1,0.0,4.021354418734548,-0.0025769381055324274,385.9890254920669,3.655462446206124e-11,3.0897845669256463
208.2,0.0,4.021095928041985,-0.002592875745716047,386.14927737663834,6.784290472196112e-11,3.0895481743121405
208.29999999999998,0.0,4.0208358446126145,-0.0026087928417187116,386.3094540564553,5.483193669309186e-11,3.0893116685328663
208.4,0.0,4.020574170500984,-0.0026246893909302113,386.46955547651436,1.1183236805766192e-10,3.0890750495675108
208.5,0.0,4.020310907761896,-0.0026405653907794974,386.62958158185734,8.704957181219668e-11,3.0888383173967635
208.6,0.0,4.02004605845042,-0.0026564208387346525,386.7895323175728,5.514172164616018e-11,3.0886014720023085
208.7,0.0,4.01977962462187,-0.0026722557323028465,386.94940762879475,1.0284860441868078e-10,3.0883645133668245
208.79999999999998,0.0,4.0195116083318005,-0.0026880700690302935,387.10920746070354,7.527774359560069e-11,3.088127441473985
208.89999999999998,0.0,4.019242011636024,-0.0027038638465022107,387.26893175852575,3.96524739927444e-11,3.0878902563084534
208.99999999999997,0.0,4.018970836590583,-0.0027196370623427724,387.4285804675344,6.939182948730269e-11,3.0876529578558762
209.1,0.0,4.018698085251756,-0.0027353897142150707,387.5881535330487,1.0439752918402235e-10,3.0874155461028914
209.2,0.0,4.018423759676054,-0.002751121799821076,387.74765090043456,9.386484077969962e-11,3.087178021037113
209.29999999999998,0.0,4.018147861920219,-0.0027668333169015976,387.90707251510435,5.792978622377502e-11,3.0869403826471404
209.4,0.0,4.017870394041211,-0.0027825242632362247,388.06641832251756,7.868537807935217e-11,3.0867026309225483
209.5,0.0,4.017591358096218,-0.00279819463664331,388.2256882681799,9.169634610822142e-11,3.086464765853886
209.6,0.0,4.017310756142634,-0.0028138444349799048,388.38488229764437,9.72724752634511e-11,3.0862267874326763
209.7,0.0,4.017028590238077,-0.0028294736561417307,388.5440003565109,9.448441068583626e-11,3.0859886956514115
209.8,0.0,4.016744862440366,-0.0028450822980631346,388.7030423904262,3.96524739927444e-11,3.0857504905035533
209.89999999999998,0.0,4.016459574807527,-0.0028606703587170375,388.8620083450849,1.1059322824538867e-10,3.0855121719835252
209.99999999999997,0.0,4.016172729397789,-0.002876237836114914,389.0208981662279,4.708731286638397e-11,3.085273740086718
210.1,0.0,4.015884328269566,-0.0028917847283067254,389.17971179964417,4.336989342956418e-11,3.085035194809478
210.2,0.0,4.015594373481483,-0.0029073110333808915,389.33844919117,5.576129155229681e-11,3.084796536149114
